"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.755892255892256,0.997777777777778,0.951386536712732,"model4"
"weddell",0.664429530201342,0.970588235294118,0.951386536712732,"model4"
"emperor",0.978479196556671,0.995620437956204,0.951386536712732,"model4"
"marching-emperor",0.762962962962963,0.858333333333333,0.951386536712732,"model4"
