"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.835078534031414,0.708888888888889,0.86321152314331,"model2"
"weddell",0.625,0.686274509803922,0.86321152314331,"model2"
"emperor",0.991909385113269,0.894890510948905,0.86321152314331,"model2"
"marching-emperor",0.552941176470588,0.783333333333333,0.86321152314331,"model2"
