"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.927536231884058,0.96551724137931,0.920776181633211,"model5"
"weddell",0.806451612903226,0.980392156862745,0.920776181633211,"model5"
"emperor",0.978292329956585,0.960227272727273,0.920776181633211,"model5"
"marching-emperor",0.651428571428571,0.919354838709677,0.920776181633211,"model5"
