"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.798525798525799,0.700431034482759,0.857949837125519,"model2"
"weddell",0.625,0.686274509803922,0.857949837125519,"model2"
"emperor",0.991909385113269,0.870738636363636,0.857949837125519,"model2"
"marching-emperor",0.552941176470588,0.758064516129032,0.857949837125519,"model2"
