"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.688073394495413,0.969827586206897,0.815704288758459,"model3"
"weddell",0.377777777777778,1,0.815704288758459,"model3"
"emperor",0.976152623211447,0.872159090909091,0.815704288758459,"model3"
"marching-emperor",0.4,0.693548387096774,0.815704288758459,"model3"
