"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.980349344978166,0.997777777777778,0.935196972574823,"model1"
"weddell",0.867256637168142,0.96078431372549,0.935196972574823,"model1"
"emperor",0.984104046242775,0.994160583941606,0.935196972574823,"model1"
"marching-emperor",0.848,0.883333333333333,0.935196972574823,"model1"
