"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.957446808510638,1,0.952544901927004,"model3"
"weddell",0.860869565217391,0.970588235294118,0.952544901927004,"model3"
"emperor",0.98695652173913,0.994160583941606,0.952544901927004,"model3"
"marching-emperor",0.821428571428571,0.958333333333333,0.952544901927004,"model3"
