"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.7152,0.993333333333333,0.923887351838026,"model6"
"weddell",0.601307189542484,0.901960784313726,0.923887351838026,"model6"
"emperor",0.948324022346369,0.991240875912409,0.923887351838026,"model6"
"marching-emperor",0.668965517241379,0.808333333333333,0.923887351838026,"model6"
