,MSE,Unnamed: 0,X3,model_name,n_parameters,precision,recall,running_time,total_ground_truth,total_predicted
0,0.47502678465364595,1,,WideResnetCount,368915,0.9517962454623391,0.8605087881591659,1.20838384712692,1059.0,957.430554076098
0,4.82261793271011,1,,Resnet34count,8174827,0.749826609401907,0.873401962261681,7.17007248802523,2180.0,2539.27541895211
0,4.07725303088342,1,,Resnet18count,2787307,0.902075417767802,0.748017511024661,6.16552513257592,2180.0,1807.6960550248602
0,12.7514989808108,1,,Resnet50count,8543979,0.8625126220924909,0.47350093829659096,10.5448765037334,2180.0,1196.7732634246302
0,3.4310361810953505,1,,NasnetAcount,858003,0.959849135170679,0.7467524057232829,8.921951108274211,2180.0,1696.0167851662302
0,1.2809525080951203,1,,CountCeption,1994356,0.969887159331112,0.81651296181189,47.457825399078104,1691.0,1423.59181183111
0,27.116631979081998,1,3.0,Always-zero,0,0.0,0.0,0.0,2186.16552513258,0.0
1,12.1978550456761,2,3.0,Always-mean,0,0.6919943374756071,0.6919943374756059,0.0,2186.16552513258,2186.16552513258
2,12.9417324193727,3,3.0,Always-median,0,0.7915703202453069,0.6403903724624879,0.0,2186.16552513258,1698.0
