"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.730081300813008,0.997777777777778,0.89474029198781,"model7"
"weddell",0.336666666666667,0.990196078431373,0.89474029198781,"model7"
"emperor",0.966810966810967,0.978102189781022,0.89474029198781,"model7"
"marching-emperor",0.725352112676056,0.858333333333333,0.89474029198781,"model7"
