"","precision","recall","balanced_accuracy","model_name"
"crabeater",0.69359756097561,0.980603448275862,0.917927588799531,"model6"
"weddell",0.601307189542484,0.901960784313726,0.917927588799531,"model6"
"emperor",0.948324022346369,0.964488636363636,0.917927588799531,"model6"
"marching-emperor",0.668965517241379,0.782258064516129,0.917927588799531,"model6"
